USER COMMENTS,Tags
It takes far too many attempts to get our vendors to due what they are contracted to do.  IE. sprinkler turn ons.  We need more accountability from our vendors to do the scope of work they bid.   ,Business Process Doesn't Match
"All categories would have scored a 10/10 if the stores didn't have to separate ticket requests from IT/maintenance.   For example, LP card reader problem is a selection on the menu but in reality you have to call IT to get a ticket.  Another example is: if you are having trouble with getting music into your store you have to call IT vs submitting a ticket to FM.   To streamline the process of store maintenance  and to spend less time on deciding where and/or who a ticket needs to be submitted to, please combine all ticket request into one facility.  ",Business Process Doesn't Match
Work orders and responses to work orders have taken longer than normal.,Business Process Doesn't Match
We use it because we were told we had to- its an extra step for me that wasn't needed,Business Process Doesn't Match
"More communication between facilities and store when ""crew/tech"" is assigned, delayed or canceled.",Business Process Doesn't Match
VENDORS OR CBRE SHOULD ALWAYS BE SURE COMMENTS ARE UPDATED IN PORTAL,Business Process Doesn't Match
Needs to find local vendors instead of 4-5 states away.,Business Process Doesn't Match
It really isn't designed for what I needed to request (shelving and moving electrical outlets) but it was required to use.,Business Process Doesn't Match
"On seasonal work orders.  Once the status moves to ""Closed"", There's no way to tell the Tech if a work order has made it's way through the billing process.  For example:  A PMEX or OOS work order will go to PVINV status.  We can see the the various stages all the way to ""Completed""",Business Process Doesn't Match
everything went well but when sent order I do not like diferent contractor it kind mess up because the first one contractor with plumber few week later i had to sent call back they send different contractor plumber over and kind waste money to do. ,Business Process Doesn't Match
improve communication ,Business Process Doesn't Match
Response time on tickets is very long. It takes much longer for service since we have switched to CBRE.,Business Process Doesn't Match
Simplify  Easier communication Better support,Business Process Doesn't Match
Pay our vendors quicker. Answer calls and return calls quicker.Find vendors that are not so expensive to use.,Business Process Doesn't Match
Accuracy in work orders would be best. So long as the work orders are accurate with what the service providers know or are experiencing then it would be a huge improvement.,Business Process Doesn't Match
"I have put in many Work orders in, and found that the Vendors coming out to service will only do what is on work order rather than calling in and getting approval; if something was missed in work order and getting approval for completing other items that were missed when making work order. I am Dissatisfied with this service. I have to make a new work order and a new charge to the clinic to have them come out to facility and make appropriate repairs, when they could have added to work order in with approval for similar scope of work. I hope this issue could be addressed due companies are over charging DaVita for good customer service.",Business Process Doesn't Match
"Problem is we do these tickets, but it takes too Long to Get Results from GFS.  The GFS Tech can delete tickets and change ticket to whatever they like.",Business Process Doesn't Match
"I am told to stop and complete a different form for changing door lock codes, but I cannot locate that selection. Please provide a link. ",Business Process Doesn't Match
quicker responses  sometimes response can take a few days sometimes they are responded to right away.  more consistency on response time,Business Process Doesn't Match
Respond quicker,Business Process Doesn't Match
when we input notes no one from CBRE response ,Business Process Doesn't Match
Quicker response and more follow up. Vendors that can get parts and complete repairs in a shorter time with more reasonable rates.,Business Process Doesn't Match
It would be nice / helpful  if I could get a response to my messages at the comment section.  When CBRE rep enters a comment / message I respond immediately but when I enter a comment its crickets. ,Business Process Doesn't Match
"when the client cancels a service request, update and cancel so we don't still go to the location, and then the customer incurred travel cost. ",Business Process Doesn't Match
Get reliable vendors that know how to fix things and don't over charge like the ones you have now!,Business Process Doesn't Match
Communicate and arrive in a timely manner,Business Process Doesn't Match
Better Skilled Communication with FM Pilot individuals who can provide an answer and get things accomplished.,Business Process Doesn't Match
"Updates to stores about what is going on after the ticket has been issued and someone sent out and then waiting for someone else to approve something. Need more follow up on repeat issues for our roof, ceiling tiles, leakage, etc. Ongoing issues for the past two years and still isn't resolved is a big issue.",Business Process Doesn't Match
Pay past due invoices!,Business Process Doesn't Match
Better service.,Business Process Doesn't Match
More communication on when we can expect a vendor,Business Process Doesn't Match
"We a ticket is created we dont get updates.
if we add notes or comments to a ticket it goes un notice. We always have to call in for an update week(s) after to follow up. System needs to be better at following up with stores who need the work done in a timely manner ",Business Process Doesn't Match
"Pay within terms, not 60 to 90 days late.",Business Process Doesn't Match
takes too long for someone to come and the repairs don't last ,Business Process Doesn't Match
COMPLETE THE WORK ORDERS,Business Process Doesn't Match
"Train staff better to know that PM services are a flat rate when we invoice them. We received 3 invoice rejections this morning, when we have been invoicing them the same way for years. This cuts into other work our office staff needs to be focused on and is extremely frustrating. Also, if there is a SOW or checklist for any jobs, please make sure they are attached to the job instead of asking us to provide a checklist we don't have.",Business Process Doesn't Match
"always issues, vendors don't show up, it takes forever to get something done, lack of follow up.. ",Business Process Doesn't Match
Vendors do not update portal with comments or attachments,Business Process Doesn't Match
Knowing who is coming and having the same people come to fix issues would be very helpful. Calling befo0re every visit to let the front desk now when and who will arrive would be very helpful.,Business Process Doesn't Match
"Work orders are dropped, not monitored and not completed. I can't find several work orders I have entered and that were never completed. Follow up with the contractors assigned the work order needs to be done regularly until it is completed.",Business Process Doesn't Match
Couple issues I have is that I check my app every morning but we don't get a lot of work orders as often as we should we are lucky if we get 2 a week and the follow up team isn't very helpful once you have questions about quotes of follow ups on workorders however the help desk people are one of the best customer service representatives I've ever had to deal with,Business Process Doesn't Match
"Sometimes there will be miscommunications between the center, CBRE and the techs/company that show up on site",Business Process Doesn't Match
Yall need to get the right people in to do the repair not the cheapest you can find,Business Process Doesn't Match
Have vendors complete work orders,Business Process Doesn't Match
"In regards to the UI, I have no complaints. Sometimes I come across mosaic tickets that are mislabeled, the alarm details and source info will not match the mosaic ticket title. I believe this is more of a programming or routing setup issue though. ",Business Process Doesn't Match
We are unable to reopen work orders that have been closed but are incomplete or incorrect. When comments are added to work orders by center staff there is little to no follow up from CBRE on those comments. ,"Business Process Doesn't Match, Performance Issue"
The work orders get closed and work has not been done and we are not advised why it was closed or if it was submitted to an outside vendor until we call  and sometimes we lose track so it could be weeks before we find out what is going on.  ,"Business Process Doesn't Match, Performance Issue, Usability Issue"
Make it more user friendly and easier to get someone on the phone or email back quicker,"Business Process Doesn't Match, Usability Issue"
Work orders do not get resolved quickly. The site doesn't work when trying to view all work orders.,"Business Process Doesn't Match, Usability Issue, Performance Issue"
Provide exact payment dates.  It's significantly challenging to purchase needed materials to complete WOs timely when payments are made more than 30 days after completion of work order. We are expected to complete WOs timely but are not compensated timely. ,Business Process Needs to Change
"Quotes should be uploaded so we at the facility see what the vendor is quoting for work.  When written communications are sent, the person entering the order and/or the person listed as secondary contact is included.  Vendor be held accountable for uploading reports quickly - their invoices are held until they have completed this step - we are have requirements to have documentation on file for annual services.  We have to keep checking back on the work order for months sometimes waiting for the reports to show up.",Business Process Needs to Change
To be able to have to correct information and the necessary resources to contact the person or person in charge of the account. I don't understand that when you guys need some information you will call and CC the whole company. ,Business Process Needs to Change
Better communication between fmpilot and vender,Business Process Needs to Change
Make the email updates relevant and timely.  Dispatch to vendors sooner.  No reason a ticket should take several weeks to get an update on.,Business Process Needs to Change
ancering the telephone more frequently,Business Process Needs to Change
pay faster - its about cash flow and I am still waiting on payment for Jobs we did in July.   The best vendors have the ability to pick and choose who they work for not wait or beg for payment.  I work with multiple third party payers and CBRE is the slowest to pay.   Also communicate when bills will be paid.,Business Process Needs to Change
I'm still good with the interface but could have some improvements with the correct trade match from client-side to IFM to avoid rework.,Business Process Needs to Change
Communication with facility. So many different technicians from different agencies. Maybe a follow up call or email to the AA  so she can expect a certain agency instead of one agency today and another tomorrow and nobody knows what to do or when to do it. Mass confusion  here on work orders.,Business Process Needs to Change
My clinic does not have a maintenance person to trouble shoot or prevent $$$ losses. Would like to have a person that can maintain the property. I am now noticing the refrigerator making an unfamiliar noise but nobody to check and do preventive maintenance.  ,Business Process Needs to Change
"Your NTE's are a joke & your invoice processing procedures are ridiculous- ""PENDING CLIENT INV APPROVAL"" ""PENDING VENDOR VERIFICATION"" etc etc..- we are real close to not using you.",Business Process Needs to Change
Do not allow Out of Scope services to be performed on a Regular Land Service work order.  A PM.,Business Process Needs to Change
There is no way to change the password in reset email or inside the app. We have to send for one every time we want to log into fmPilot. ,Business Process Needs to Change
It would be better to know when there will be scheduled appointments of vendors to take care of issues.  Most of the time it is a surprise and they don't normally have the information we need to determine why they are there in the first place without ome detective work.  ,Business Process Needs to Change
Work order creation should list a designated field into which the point of contact can be entered. Vendors and facility technicians should also receive notices that they must schedule site visits with the assistance of the points of contact for work orders.,Business Process Needs to Change
Allow emergent orders to be done over the app again.,Business Process Needs to Change
find a better way to print and invoice work orders,Business Process Needs to Change
"When creating a work order, fields should exist to designated a point of contact for the work order. Work orders should also be transmitted to vendors such that the vendors receive special notices to contact the point of contact before they arrange for any site visits.",Business Process Needs to Change
Timely follow ups on WOs,Business Process Needs to Change
it would be nice to be able to place urgency of service on escalating scale  ,Business Process Needs to Change
Fix the system. Some specific client domains are not working/too slow to load.,Business Process Needs to Change
It's sometimes difficult to get a response to questions.,Business Process Needs to Change
"Either remove or improve the IVR check in process. All my techs have issues with it. Notify the person who created the work order when a comment is made so they can give an answer. I never receive replies to my comments. Come up with more a chat based program for customers and suppliers. Needs to be far more user friendly. Come up the an ""action required"" option on the work order tab. SO when answers are needed someone specific is notified. ",Business Process Needs to Change
Answer the messages we put in the portal :)   Tell us quicker if our tech is NOT going to get an increase so we can send him to his next job and not waste his time waiting.   Give us DIRECT contact numbers to call!!!! It is frustrating to call and not get a designated person. ,Business Process Needs to Change
Validate vendors better. Reaction time to emergency work orders,Business Process Needs to Change
streamline updates by removing the need to choose what company to update and just making them use a universal system/code so you can get in and out,Business Process Needs to Change
Needs to be a better way to directly contact someone regarding outstanding work tickets ,Business Process Needs to Change
CBRE FOLLOW UP NEEDS TO BE IMPROVED ,Business Process Needs to Change
"When I update our schedule date and time in fmPilot, we still get emails asking us for a schedule date. What's the point of putting it in if we are going to be asked about it again in an email? ",Business Process Needs to Change
ETA times updated daily ,Business Process Needs to Change
It would be nice to add comments to work orders without having to know someone's email address. ,Business Process Needs to Change
More Communications,Business Process Needs to Change
Emergency addressed quicker,Business Process Needs to Change
"I'm not sure how this can be improved. On the Vendor's side it's definitely easier to just talk to our contact directly, and set up the work orders on our own system. Now we have to do both. One in our system and one in the Vendor program. Many companies are switching to vendor programs and they're all different, so we have to learn each one. It's time consuming to say the least.",Business Process Needs to Change
My only issue is with calling into the IVR system.,Business Process Needs to Change
Fix you IVR call in system. ,Business Process Needs to Change
"allow uploads to be deleted if neccessary -have people actually read the comments  -give contact info as to who to contact if have issues with the web#  - have a few more choices under Remedy/Cause, example- needs an electrician","Business Process Needs to Change, Data Issue"
"It would be helpful to be able to know more about the status of various requests, what progress, or where in the process FM is. For example, we have submitted a number of requests over the years to have an old walk-behind forklift removed (it does not work), but have never seen any movement on it. Anyway, you have been very responsive to our various other requests that, and I do appreciate it.","Business Process Needs to Change, Feature Request/Enhancement"
Putting PM's on a better schedule and have the due date prior to the expiration date of inspections.   Better follow-up notifications  ,"Business Process Needs to Change, Feature Request/Enhancement"
comments being reviewed before reaching out. possibly a feature that shows the latest update to assist with that.,"Business Process Needs to Change, Feature Request/Enhancement, Data Issue"
When emails are sent have tech with an extension when we have certain things come up like onsite approvals needed and the IVR has been messed up since the phone system was updated and checking in and out has become a chore,"Business Process Needs to Change, Technical Issue"
Use a usable UI. Also most calls come in at 1 o'clock and we are 2 hours from going into overtime already.,"Business Process Needs to Change, Usability Issue"
Try to cut down on the redundancy of repeating the same question several times to complete a process.  IE:  when invoicing for example. I have to put the job description in several areas and attach an invoice with the same description on it.,"Business Process Needs to Change, Usability Issue"
"It would be easier to log in once and not have to log in and out a million times a day, also quoting is a pain since you have to paraphrase your work recommended.","Business Process Needs to Change, Usability Issue"
"Scrap it and start over.  Model Service Channel.  FMPilot is clumsy, especially with building a quote.  Also, service provider should be able to submit a quote/RFP without needing to wait for a work order from the client.   This is one of the worst client websites available.","Business Process Needs to Change, Usability Issue, General Negative Feedback"
"Terms used in email, phone conversation, text, page to page, clickable items, abbreviations, and acronyms, all should be the same and read the same way for everything. ",Data Issue
"Know the HVAC Units and their parts before rejecting Invoices for things out of our control.  Example: A Direct Drive Unit does not have belts, but we get rejections for no belt photos ALL THE TIME.",Data Issue
There are not enough choices for issues,Data Issue
Data extraction is not always accurate ,Data Issue
"Details should be provided in column for specific things. Like Project, Purchase items, Quantity and Cost",Data Issue
the status updates online could provide more info related to the work that was completed as well as be better matched to the actual situation on the ground.  Sometimes status updates too late or too early to reflect what has actually been done.  ,Data Issue
improved choices for coding of work orders,Data Issue
more choices to select from. ,Data Issue
There doesn't always seem to be the right option to put a work order under. ,Data Issue
sometimes it is hard to choose the best category,Data Issue
Better updates on the status of services.,Data Issue
Possibly allow the user to type in specifics when the selectable categories do not fit what the location or actual issue/problem is.,Data Issue
"Improve data reporting by forcing contractor to breakdown cost ex: Labor, Material, equipment, ",Data Issue
there are some areas where there are not the correct options for what is needed,Data Issue
"When we get a direct deposit of more than one job, please give us the breakdown of which jobs the money went to.",Data Issue
Please make available to us the key and a template so we can upload changes to our properties without having to endlessly manually key data into Site IQ. (e.g. changing listings from Duke to Prologis when Prologish acquired Duke.,Data Issue
Seems like very few Broker teams have their properties listed in here.  When I do searches for competing properties nothing comes up.  Thx!,Data Issue
The SIREQUEST App and iMFM app doesnt allow the client/users to enter Priority parameters for work orders. When vantage analytics reports are run it looks like the team doesnt close out work orders in time because of the set priority code. ,Data Issue
"Make a team of Facility managers and technicians (workshop), getter data, and deployments on which way the program can make statistical deployments of tickets (cause, time duration, etc...). PowerBI has the same possibility to constantly take automatic data and transfer it into charts which can be by local area presented. MyVantage is great for keeping KPIs in check, but we need statistics to be proactive and to reduce the time for which we consume in finding the biggest cause of failures for our tickets. The overall system is ok, put have space to be great.   ",Data Issue
It would be nice if there were a master list of manufacturers and models that covered all clients. We often get junk from the field in those two fields and have to do all sorts of cleanup.,Data Issue
"Of all the information captured in a work order, not all data can be exported (i.e. who & when approved a quote; or a work order for payment). For service provider I often hear about the extra clicks to move a work order into the right status (i.e. taking a work order from IN PROGRESS to QUOTE NEEDED).","Data Issue, Feature Request/Enhancement"
Make quote templates the user can build on. ,"Data Issue, Feature Request/Enhancement"
"It would be nice if it would refresh itself every 2min or so. Would like to have the ability to upload, Manf, Model and Serial Numbers of equipment being worked on.","Data Issue, Feature Request/Enhancement"
More statuses,"Data Issue, Feature Request/Enhancement"
"Please extend deadlines for SLA, such as extending the 24 hours for a quote. ","Data Issue, Feature Request/Enhancement"
Possibly a choice of doors,"Data Issue, Feature Request/Enhancement"
more options to choose from,"Data Issue, Feature Request/Enhancement"
it should be scrapped.,"Data Issue, Feature Request/Enhancement"
Just need better scorecard tracking catagories,"Data Issue, Feature Request/Enhancement"
"Add the DM and manager email to the Associated User list.  Thks, Tam SM 2106","Data Issue, Feature Request/Enhancement"
"we as managers use the FM pilot and desktop version, the App is a different set up. I would like to see a way to access the app better for managers to see what the techs see to help make sure clients and info can be accessed better. The downloads and uploaded forms are not visible to the field techs. ","Data Issue, Feature Request/Enhancement"
Taylor it for each business unit. ,"Data Issue, Feature Request/Enhancement"
FIX BULK INVOICING.,"Data Issue, Feature Request/Enhancement"
Allow vendors to remove comments when placed on the wrong work order.  ,"Data Issue, Feature Request/Enhancement"
1. An option to research payments vendors receive. 2. An option to inquire within the fmPilot portal about a particular invoice.,"Data Issue, Feature Request/Enhancement"
It's really difficult/impossible to research past tickets. We'd like to be able to do that.,"Data Issue, Feature Request/Enhancement"
more status to change to. waiting on vendor proposal. waiting on final docs. ,"Data Issue, Feature Request/Enhancement"
Keep us better informed on the status of our service requests via email/call. ,"Data Issue, Feature Request/Enhancement"
Having the abilty to adjust techs times would be helpful. ,"Data Issue, Feature Request/Enhancement"
no comments ,"Data Issue, Feature Request/Enhancement"
Bulk invoicing ,"Data Issue, Feature Request/Enhancement"
There needs to be and Other tab when creating a WO as sometimes there are special request that need done.,"Data Issue, Feature Request/Enhancement"
"Allow for bulk invoicing of multiple PM work orders on 1 invoice, applicable to same site work orders.","Data Issue, Feature Request/Enhancement"
"Associated Users when attempting to add a comment; this doesn't always have who all needs to be included.  The ability to recall a quote within 10-30 minutes of submitting would be great, as would the ability to delete duplicate and/or unnecessary attachments that were accidentally submitted. ","Data Issue, Feature Request/Enhancement"
Would be great if quotes could transfer over to invoicing. ,"Data Issue, Feature Request/Enhancement"
Wish there was an option to be able to delete a specific uploaded document/photo etc easily.,"Data Issue, Feature Request/Enhancement"
"resolve things quicker, be able to view completed work orders.","Data Issue, Feature Request/Enhancement"
My only complaint is not being able to delete an attachment if needed or uploaded in error.,"Data Issue, Feature Request/Enhancement"
"Easy access to gain info and progress to third party vendors, such as Back flow inspections, major HVAC projects","Data Issue, Feature Request/Enhancement"
make it easier to find vendors,"Data Issue, Feature Request/Enhancement"
Access to more quotes revisions - being able to edit more quotess,"Data Issue, Feature Request/Enhancement"
Making updates come with notifications to whichever manager puts in the request.,"Data Issue, Feature Request/Enhancement"
Allow for invoices to be deleted if uploaded in error.,"Data Issue, Feature Request/Enhancement"
"Please email the stores with updates on work orders so we are aware of vendors coming in. Many times, we are unware a vendor is arriving and surprises the LOD. Recently, we had a repair for an emergency exit and first vendor created a quote. Corp decided to get another quote for a second vendor, however no communication to the store caused confusion with LOD and sent second vendor away.","Data Issue, Feature Request/Enhancement"
REQUIRE that notes are entered as to what a vendor did to resolve the problem.  Upload quotes that are visible us  -  who knows are buildings better than us ??,"Data Issue, Feature Request/Enhancement"
Edit option for logs.,"Data Issue, Feature Request/Enhancement"
add the ability to remove uploaded photos. Why this is not already an available feature is beyond me.,"Data Issue, Feature Request/Enhancement"
Add all emails to client emails ,"Data Issue, Feature Request/Enhancement"
"The biggest ask I have is for the results of a work order to be put in the comments.  Often work orders will show as complete, but many days will go by without any update regarding what work was done.  ","Data Issue, Feature Request/Enhancement"
If you gave us dates for EFT and a place where we can expect our EFT billing information.,"Data Issue, Feature Request/Enhancement"
"Improved access availability, escalation of approvals, reduce number of clicks required to view backup information, improve wo status review and improve dashboarding.  Improve vendor onboarding and payment reconciliation. ","Data Issue, Feature Request/Enhancement"
Please incorporate the vendor contact information that will perform the work order. That will make it easier to follow up with the vendor.,"Data Issue, Feature Request/Enhancement"
"Should receive alerts to the person submitting the ticket including when the ticket is submitted as well as when updates are being made. A timeframe should be provided when a tech is scheduled to come. If the ticket is cancelled, a notification should be sent. Emergencies should be treated as an emergency.","Data Issue, Feature Request/Enhancement"
"Less repetitive emails, able to adjust labor rates for different trades, update date without having to ""save""","Data Issue, Feature Request/Enhancement"
Allows to keep the work area at flow!,"Data Issue, Feature Request/Enhancement"
"Your IVR system does not make sense when you listen to it. That needs to be improved to make it easier, or make it so we can check a tech in online instead of calling. ","Data Issue, Feature Request/Enhancement"
You seem too focused on the writing and the digital aspects of doing business but we are a hands-on industry and what really matters is that the work is being done and being done correctly and in a timely manner. Yall love to nitpick about details neither the vendor nor the end customer worry much about.,"Data Issue, Feature Request/Enhancement"
"It would be super helpful if we were able to delete images (or) documents that we attach to a work order, as sometimes we are working on multiple work orders at a time and every so often we will submit an image or document that belongs to a different work order.   It's quite a process then to reach out to CBRE and get someone on-line to remove for us.  Thank you!","Data Issue, Feature Request/Enhancement"
automatically email account holder with comments ,"Data Issue, Feature Request/Enhancement"
Weekly service dates should be more clear for invoicing purposes.,"Data Issue, Feature Request/Enhancement"
Would be great if approved quotes could be rolled over to invoice so we didn't have to reenter all the info.,"Data Issue, Feature Request/Enhancement"
"the stabitity of the mobile app needs improvements, techs often have to check in multiple times to a WEB/PM as the app kicks them out in the middle of running a call.
When an Email notification of a new WEB / PM is printed the location information prints on page 2. would be helpful if job site information was located near the top of the notification. 
when hitting the accept button on an email. would be nice if the app would schedule the call for the SLA time. ei if a P4 is accepted an 12 Noon, the scheduled time would auto populate for 4PM. ","Data Issue, Feature Request/Enhancement"
"We should receive emails on all work orders. I typically see work orders for pest control and janitorial, but no one shows up for this. Is someone supposed to show?","Data Issue, Feature Request/Enhancement"
Expand it for all product types  Make the interface between CoStar and SiteIQ easier.  Populate all the Class A buildings in each market as a starting point.  Have the option of keeping changes and alterations personal to a survey or global to the master building record.,"Data Issue, Feature Request/Enhancement, Integration with other Tools Needed, Usability Issue"
"It's not possible to move a quote that includes labor to the invoice screen without rekeying. Would be great to have all of that flow through.  Also have issues with labor rates not being preloaded and when that occurs, we are unable to use the Labor line item in invoicing b/c we can't override the labor rate to fix the issue.   ","Data Issue, Usability Issue"
often jobs are marked completed when they are not,"Data Issue, Usability Issue"
Make the template easier to use and Have multiple location options.,"Data Issue, Usability Issue"
The brokers have requested a field for the total monthly rent (Asking Rate and OpEx combined),"Data Issue, Usability Issue"
"Unlike a lot of other teams and markets our size, we have an inordinate number of industrial buildings we monitor and keep in Site IQ for surveys. The problem is Site IQ is geared to a one-and-done entry, which means if we want to add more data to previously unused columns or change information -- such as whether a building is under construction, has a new owner, etc., we have to MANUALLY make the change. We have about 500 buildings in Site IQ. If we only used Site IQ for everything, that wouldn't be too hard. However, we use Dimension and other tools, too. It is impractical to have to hand-key in everything. Give me the key for each of our buildings in the Site IQ system and allow me to upload changes from Excel. Then I could help the brokers with sales projects and spend less time on unnecessary manual labor.","Data Issue, Usability Issue"
The list of properties and availabilities are significantly out of date. Many properties have to be added manually. Not necessarily quick and easy to use on the fly. ,"Data Issue, Usability Issue"
"Meet with the FedEx business team, Fred Lachance and Brad Courtney to make additional changes to better serve your customer. ",Doesn't Meet Client Needs
Need more options that pertain to certain things within the office. Such as issues with the clinic chairs and television problems in the clinic.,Doesn't Meet Client Needs
make it Service Chanel,Doesn't Meet Client Needs
this app waste money and time,Doesn't Meet Client Needs
"I receive purchase orders and process invoices in over 60 different sites for hundreds of customers and regarding invoice submission, this is my least favorite. I literally do not understand why it is so complicated and segmented to submit invoice in fmPilot. Invoice submission should be simple with an uncomplicated setup and platform. This should include easy access to each field, previous invoices, and should not be separated in small blocks without even a full screen (why is the screen a small square in my screen?) There should be an obvious field for invoice submission, & for the Invoice Number, and amounts. I mean to create an invoice you select ""submit invoice"", so how do you submit the invoice once it has been created? I submit each invoice at least 4 times.... You have to search for each field and good luck getting back the next time. Try separating the dispatch/work from the final invoice submission. Two different departments perform the functions at almost all companies but fmPilot acts as if it is one function, one process, and one department handling it all. Please try again and see other platforms first.",Doesn't Meet Client Needs
Entering quotes & invoices is difficult at times because of how we operate with the client. This system was not built for companies like us. It would be nice also if you could be able to download multiple photos at one time and delete attachments if you upload something incorrect by mistake. ,"Doesn't Meet Client Needs, Feature Request/Enhancement, Business Process Doesn't Match"
FM Pilot is highly useful and well formatted for occasional use. But for snow removal very difficult to use in the field. Snow is unpredictable and FM Pilot requires the stores to make requests at very short notice and don't always have the ability to go through FM Pilot leaving us with no actual work order prior to work being completed. Requests are made by the store either by text or phone calls. ,"Doesn't Meet Client Needs, Positive Feedback"
"When a technician is using FM Pilot to check inout, they should be able to add notes stating what they did. ",Feature Request/Enhancement
Make the reports easier,Feature Request/Enhancement
would help to have stores email address in all jobs and also nicole warner's email address noted.  these 2 addresses have to be manually entered ,Feature Request/Enhancement
Add more filters,Feature Request/Enhancement
status updates,Feature Request/Enhancement
need some kind of notation that notes have been added to open reqs. so we know to look at them or respond,Feature Request/Enhancement
Allow access to view date/time when work order statuses were changed.,Feature Request/Enhancement
can we remove the character limit in the description field?,Feature Request/Enhancement
Not create an issue every time its updated.,Feature Request/Enhancement
Continued follow-up with those work orders that are taking longer to complete. ,Feature Request/Enhancement
Check list or repairs should be mandator to down load so every one can see what work was completed.,Feature Request/Enhancement
"When sending out the email of work orders, include a link to FMPilot website. Also, require a direct phone number for onsite contact. It has been difficult to complete work at large facilities when there is not a direct contact with knowledge of issue we are out to service. ",Feature Request/Enhancement
When doing responses or even emails off FM there is times it would be nice to have a split screen of looking at invoice and comments at same time.,Feature Request/Enhancement
Improvement in the comments section on how the messages appear would be good.  ,Feature Request/Enhancement
BULK INVOICING ,Feature Request/Enhancement
e-mailed updates on work orders would be helpful.,Feature Request/Enhancement
"When editing invioce, some optios don't allow to modify prices",Feature Request/Enhancement
