,Comment,Tag(s),,
Facilities Manager,The aapp app keep crashing. ,Bug,,
Operations Manager,The newest Fmpilot page format does not like to load often. You have to refresh it a couple times each time you access a client that has the new format in order to get it open ,Bug,Assets,
Vendor Admin,"the site has some glitches , makes me relog in several times. other times have to open and close for the page to load.",Bug,,
Account Coordinator,"the website doesnt work to set up and schedule non emergency workorders, i can never get to a place to submit.  i just call for all workorders.",Bug,"WO, Quotes",
Customer Service Rep,There are way too many disruptions. The system crashes too much.,Bug,,
Vendor Admin,Tickets sometimes don't populate for viewing after they've been placed so it's hard to respond to things or keep track of what's going on,Bug,Reporting,
Vendor Admin,"Update equipment on the work orders when we submit them. Way too many glitches in this system, wont save information on 1st try. Have to re enter and try to save over and over until system finally retains info. ",Bug,,
Facilities Manager,"When I first log on to select clinic it often comes up with clinic location 0 and will not allow me to move forward until I close it and reopen. Closed WO that  are not completed, would like to have a notification of events so a follow-up could be completed ",Bug,,
Vendor Admin,when I get in t o make a work order it takes a few times for it to connect,Bug,,
Account Coordinator,"When I update our schedule date and time in fmPilot, we still get emails asking us for a schedule date. What's the point of putting it in if we are going to be asked about it again in an email? ",Bug,"WO, Commenting, Photos",
Account Coordinator,"I haven't worked at store 0982 in close to ten years, yet my profile hasn't changed and can't be changed to my current store (0970).  If I try to create a work order, it gets sent to store 0982 ","Bug, Data Issue","IVR, Commenting",
Vendor Admin,"VERY BUGGY, CAN'T SAVE ANY QUOTES OR INVOICES IF YOU SKIP OVER ONE ITEM, WOULD LIKE TO SEE A FEATURE WHERE AN APPROVED QUOTE CAN BE CONVERTED TO AN INVOICE TO BE MORE EFFICIENT. ","Bug, Feature Request","Photos, Integration",
Vendor Admin, It can be very glitchy and slow at times- Also the client side only works on firefox. ,"Bug, Performance",Commenting,
Facilities Manager,1. It feels buggy sometimes when trying to edit/submit invoices or quotes. Will just get stuck and doesn't give good responses on what the issues are.  2. There's no option to request for a raise in DNE.,"Bug, Performance",Reporting,
Finance & Accounting,Fix bugs and improve speed. ,"Bug, Performance",,
Account Coordinator,Fix bugs and loading time.,"Bug, Performance","Commenting, Assets",
Vendor Admin,"GRAY SCREEN CONSTANTLY, I WASTE SO MUCH TIME JUMPING FROM ONE BROWSER TO ANOTHER. REFRESHING MY SCREEN SEVERAL TIME BEFORE I SEE A ANY WORK TICKETS. ONCE I CREATE A WORK TICKET IT WILL NOT SAVE. EXTREMELY FRUSTRATING.","Bug, Performance",Quotes,
Vendor Admin,Had to load in twice. First time came up with wrong location listed and would not accept my email as valid. Once I exited and reloaded the page everything was fine. ,"Bug, Performance",Quotes,
Account Coordinator,Make it operate correctly. takes some times 5 times to open a work order correctly vary slow and sluggish. makes job harder and takes longer.,"Bug, Performance",,
Account Coordinator,Not sure if its on FMPilot but we have loading issues. Other than that it would be nice to have access to the SP code and the quote (when there is one) from the finance tab. ,"Bug, Performance",WO,
Facilities Manager,Takes forever to load and freezes/ crashes often,"Bug, Performance",WO,
Operations Manager,The page tends to get stuck when trying to hit the save button. ,"Bug, Performance",,
Account Coordinator,"logs off very frequent, noone updates the wo on time.","Bug, Process",WO,
Vendor Admin,"We have an issue logging in on site. At best I am guessing 50% successful.  Ease of adding notes and seeing both areas where there are notes, description, updates, this could be better. Many times we receive information from the store and we really don't understand what the work order entails, which is ok and understandable. Once we get to site, get pictures and assess it, then it helps. It is understandable that the store wouldn't have the expertise. Confirming these pictures are received by management and being able to see additional notes easily would help. (maybe it's us). ","Bug, Process",WO,
Vendor Admin,"WEB-579402 had issue with invoicing. Could not add the dollar amount under the ""Labor"" tab. Spent almost one hour with a Senior Rep only to find out that there is a bug.  Was resolved by adding ""Labor"" charges under ""Trip Charge"". ","Bug, Process",Attachments,
Finance & Accounting,Fix all glitches and make it easier to navigate.,"Bug, Usability",WO,
Customer Service Rep,FMP constantly kicks you out. You have to always keep refreshing when trying to create a child work order or view any work order for that matter.,"Bug, Usability","WO, IVR, Quotes, Reporting",
Operations Manager,"I am told to stop and complete a different form for changing door lock codes, but I cannot locate that selection. Please provide a link. ","Bug, Usability",Service Request,
Facilities Manager,"sometimes it takes me 10 tries to ad a work order, please make this function easier to use!!!!","Bug, Usability",,
Account Coordinator,THE SITE DOESN'T ALWAYS HAVE EASY ACCESS  AND WON'T ALLOW ME TO CREAT A WORK ORDER (HAPPENS QUITE OFTEN I MIGHT ADD) THEN I END UP CALLING IN TO CREATE A WORK ORDER OVER THE PHONE.,"Bug, Usability",,
Vendor Admin,Very glitchy and difficult to use,"Bug, Usability",Reporting,
Vendor Admin,"More focused needs to be placed on actually paying the vendors on time, and maybe shifting from the 90 day payment terms to a shorter timeframe. The payment process alone has been hurting our relationships with vendors. ",business process,,
Customer Service Rep,More client customization,Customization,,
Vendor Admin,Taylor it for each business unit. ,Customization,"Attachments, Commenting",
Vendor Admin,Accuracy in work orders would be best. So long as the work orders are accurate with what the service providers know or are experiencing then it would be a huge improvement.,Data Issue,Quotes,
Vendor Admin,"Details should be provided in column for specific things. Like Project, Purchase items, Quantity and Cost",Data Issue,Quotes,
Facility Coordinator,"I find the system, especially when coupled with Coupa/MyBuy to be very bulky and confusing.  I work with it since it's what we have, but would prefer something more streamlined.",data issue,WO,
Vendor Admin,"I need to get history on equipment and have no way without asset information in FMP Filters could be more useful, such as ""not Including"" ",Data Issue,Quotes,
Vendor Admin,improved choices for coding of work orders,Data Issue,Quotes,
Vendor Admin,"It would be nice if it would refresh itself every 2min or so. Would like to have the ability to upload, Manf, Model and Serial Numbers of equipment being worked on.",Data Issue,Quotes,
Vendor Admin,"It would help if there was more consistency with SI desktop, iMFM, and VAWS. The way you see the same data is so different between each application. ",data issue,"Invoices, WO",
,Make it where 2 people cant be in the same work order at the same time and make alterations. It messes things up. Should have a message that pops up indicating if someone is in WO. ,Data Issue,,
Vendor Admin,maybe add in some more problem code or equipment group categories to list,data issue,"Quotes, WO, Attachments",
Vendor Admin,More details needed.,Data Issue,WO,
Site Manager,Obligatory contact details for the orders.,Data Issue,WO,
Facility Manager,"please add the store Mgrs email addresses and also Nicole Warner's to listing when making ""comments"" to email direct.",Data Issue,Assets,
Vendor Admin,Problem code improvements. Many times the customer will not find an accurate problem code. ,data issue,,
Vendor Admin,"Some features ideally would be dataloadable that are currently not. Attaching documents to equipment tags, or the details of contact IDs for example.",data issue,Commenting,
Account Coordinator,"Sometimes when I sue the Chinese vision, The  WO completed time will in the future time.Not the input time.   And I want to create the PO from si7, if I use the Chinese description , sometimes will no PO create  in Mybuy.",data issue,WO,
Account Coordinator,the job waranty,Data Issue,,
Customer Service Rep,the status updates online could provide more info related to the work that was completed as well as be better matched to the actual situation on the ground.  Sometimes status updates too late or too early to reflect what has actually been done.  ,Data Issue,Request Codes,
Vendor Admin,Data extraction is not always accurate ,"Data Issue, Bug",WO,
Account Coordinator,3. JDE interconnection: more stable JDE data transfer to avoid delay in invoice processing,"data issue, Feature request",,
Account Coordinator,"Add the DM and manager email to the Associated User list.  Thks, Tam SM 2106","Data Issue, Feature Request",,
Operations Manager,I WOULD LIKE FOR SI7 TO COMMUNICATE MORE WITH COUPA. CHANGES THAT ARE MADE IN SI7 I WOULD LIKE FOR IT TO FLOW TO COUPA,"data issue, Feature request",,
Vendor Admin,It could include parts listing,"data issue, Feature request",Attachments,
Vendor Admin,It will be a great help to save time when you have made an FCR wo and have entered documents so that they are transferred to the SUP wo/Po you make,"data issue, Feature request",,
Vendor Admin,Just need better scorecard tracking catagories,"Data Issue, Feature Request",,
Vendor Admin,"Make a team of Facility managers and technicians (workshop), getter data, and deployments on which way the program can make statistical deployments of tickets (cause, time duration, etc...). PowerBI has the same possibility to constantly take automatic data and transfer it into charts which can be by local area presented. MyVantage is great for keeping KPIs in check, but we need statistics to be proactive and to reduce the time for which we consume in finding the biggest cause of failures for our tickets. The overall system is ok, put have space to be great.   ","data issue, Feature request",,
,"Options for site, building/floor/area should be consistent throughout all locations for all ticket types. Ie: Male vs. Men's and Female vs. Women's. Both are within the same dropdown.   Would like to see Site or Grounds an option for ALL building/floor location options under each category.  Would like to see Locks (CBRE function, not Security), Konica (repair / ink replacement / paper), and Flooring Repair under Quick Requests  Correct spelling under Quick Requests for Food Service Requst (should be Request)  ","data issue, Feature request",,
Finance & Accounting,"Users are locked out frequently requiring assistance in e-mailing service desk for unlocks and submitting new passwords, etc. Then, due to the changes in passwords, they are likely to lock themselves out again. I understand this is largely an ""end-user"" issue, but it is a recurring issue at many sites. Perhaps lowering the threshold for the password would be helpful. A 4-digit pin is easier and more manageable for technicians than intricate password requirements (which inevitably are written down in a handy location so they can remember it thus defeating any security provided by an intricate password).  Streamlining the password / unlock request process. Is it necessary to have to contact support? Could this process not be automated using the technicians e-mail or other two factor authentication? This would eliminate the requirement to e-mail or call support. And theoretically (and I hate to sound like an MBA) but could cut costs for the service center or allow them to refocus their efforts to solving other issues.  Better access to associated PMs and WOs associated with assets and generated PM work orders. For me to look at the past PMs for a monthly generated work order, I have to go to the relevant WO, click on the equipment tab, click the equipment number, click on order history, then organize by date to find the older work orders. This is not intuitive, and with the limited access frontline supervisors and managers have to search, reports, and equipment detail, it is not feasible to search assets and draw relevant information, history, etc.  On-site supervisors and manager don't have adequate control over PM generation and Asset management meaning we have to submit asset changes to our SI7 manager to make relevant changes. This is time consuming and takes the control from the individuals with the knowledge need to be inserted and creating an unnecessary middle step to the process.  Last, if there was a way in which work orders could be generated real-time on a monitor, it could be incredibly helpful. For our sites that used used TMS CMMS system, when a work order was generated it would automatically print the order on the shop printer and we would immediately know that a WO had come in. It also gave us a physical copy to hand to technicians for them to read the relevant details, complete the assigned task, then enter the completion info into CMMS. A similar system, printed or perhaps displayed on a monitor in work areas would allow such real-time acknowledgment of entered orders. ","data issue, Feature request",,
Finance & Accounting,"When sending out the email of work orders, include a link to FMPilot website. Also, require a direct phone number for onsite contact. It has been difficult to complete work at large facilities when there is not a direct contact with knowledge of issue we are out to service. ","Data Issue, Feature Request",,
Facility Manager,#NAME?,"Data Issue, Feature Request",Reporting,
Facilities Manager,Pms and scheduling dates are not correct It would be Great if we could create our own Pms. Be able to assign more then one technician to a work order,"data issue, Feature request, role permission",WO,
Account Coordinator,"Of all the information captured in a work order, not all data can be exported (i.e. who & when approved a quote; or a work order for payment). For service provider I often hear about the extra clicks to move a work order into the right status (i.e. taking a work order from IN PROGRESS to QUOTE NEEDED).","Data Issue, Process",,
Vendor Admin,"Easy access to gain info and progress to third party vendors, such as Back flow inspections, major HVAC projects","Data Issue, Usability",Attachments,
Operations Manager,remember basic personal details somehow. having to enter my cell phone number for each ticket is painful. ,"data issue, Usability",,
Facilities Manager,"Some parts of Service Insight can be inproved on,  but the questions you are asking are not the right questions.  Some parts of the app for moble can be improved on.  It makes working in the field/on sight and inputting information difficult and sometimes getting information difficult as well.  ","data issue, Usability","Commenting, Notifications, WO",
Facility Manager,"I only use the iMFM portal, not SI portal. One thing i would like to have improved in iMFM is when creating multiple self-generated completed work orders in a row. I can search the key word for the first one just fine, but when I go to create a second one right after the first, the key word(s) do not show. I then have to close iMFM, log back in, and then create the new self-gen completed work order. It's a bit annoying having to do this process. I feel this is an area where improvement would be appreciated. Thank you.","data issue, Usability, Feature request","Locations, Attachments",
Vendor Admin," No way to flag as urgent and no indication of how long you should expect service to be provided.  Sometimes you get an email after quite some time has passed that tells you your service date is several weeks from then.  No message to tell you to call instead of use the website if it is an emergency - this is a problem  Emails that say your request is complete typically have no information as to what was done - just say ""complete""  ",Feature request,WO,
Vendor Admin,‚Ä¢ Allow access to view date/time when work order statuses were changed.,Feature Request,"Attachments, Quotes",
Facilities Manager,1. An option to research payments vendors receive. 2. An option to inquire within the fmPilot portal about a particular invoice.,Feature Request,"WO, Commenting",
,Ability to stay logged into mobile tech IMFM app rather than being logged out when closing app.,Feature request,"WO, Request Codes",
Vendor Admin,Access to more quotes revisions - being able to edit more quotess,Feature Request,Quotes,
Facility Manager,Add all emails to client emails ,Feature Request,"WO, Quotes",
Customer Service Rep,add an icon that shows attachments have been submitted. I have no idea if the images I uploaded have been attached and can be viewed by analyst,Feature Request,WO,
Vendor Admin,Add more filters,Feature Request,Reporting,
Vendor Admin,add the ability to remove uploaded photos. Why this is not already an available feature is beyond me.,Feature Request,Reporting,
Account Coordinator,Adding a receipt attachment to FPO created on MFM after the FPO is created be extremely helpful ,Feature request,"Locations, Integration, Notifications",
Facilities Manager,"Allow date/time, work order status change, and/or changes to priority, NTE to all save at once without having to update individually. ",Feature Request,"Quotes, Reporting",
Operations Manager,"Allow for attachments (pictures, diagrams, etc.) when either submitting a new WO or responding to the request additional detail.",Feature Request,"WO, Commenting",
Facility Manager,"Allow for bulk invoicing of multiple PM work orders on 1 invoice, applicable to same site work orders.",Feature Request,"Quotes, Invoices",
Vendor Admin,Allow for invoices to be deleted if uploaded in error.,Feature Request,"WO, Quotes, Notifications",
Vendor Admin,"Allow users to input future time entries for vacation or in the alternative, allow managers to post technicians time rather than request hourly employees to do so whilst on to. it’s more about being required to have our time current when we (hourly) are on vacation. I put my time in si7 for last week on Saturday and I did not post the time it took to do it. If I could put my time in prior to my scheduled vacation, I would not have to do this administrative task when I am on vacation.",Feature request,"Quotes, Invoices",
Operations Manager,Allow vendors to remove comments when placed on the wrong work order.  ,Feature Request,WO,
Account Coordinator,"An email reminder when a deadline is upcoming. I have long projects that are categorized as P-4, but they sometimes take months. A quick email reminder would be great.  ",Feature request,,
Vendor Admin,"Another area for improvement would be easier ways to upload photos, also when completing a field po, if it would automatically auto fill the work order number it would keep from having to write down or remember the work order. There are a few other options that in my option would be easier to use overall I'm satisfied with how it is laid out and preforms.",Feature request,Locations,
,"Associated Users when attempting to add a comment; this doesn't always have who all needs to be included.  The ability to recall a quote within 10-30 minutes of submitting would be great, as would the ability to delete duplicate and/or unnecessary attachments that were accidentally submitted. ",Feature Request,,
System Administrator,BE ABKLE TO SORT MY WORKTYPE  INVOICE  PENDING QUOTES WHILR BEING ABNLE TO SEE EVERYTHING  ,Feature Request,,
Facilities Manager,be able to upload an image when creating a ticket would be beneficial. ,Feature Request,,
Account Coordinator,biometric log on in mobile app would be good ,Feature request,,
Customer Service Rep,Bulk invoicing ,Feature Request,,
Site Manager,BULK INVOICING ,Feature Request,,
Vendor Admin,can we remove the character limit in the description field?,Feature Request,Quotes,
Vendor Admin,comments being reviewed before reaching out. possibly a feature that shows the latest update to assist with that.,Feature Request,IVR,
Facilities Manager,Create an area for 'other' if we have situations where there is something we cannot describe or catagorize.,Feature Request,WO,
Vendor Admin,Customized reporting and or dashboard module,Feature request,,
Facilities Manager,Default to my location only when I log in. Filter/show all work orders for MY LOCATION ONLY vs work orders for all locations. Flag work orders when updates are given.,Feature Request,WO,
Vendor Admin,Details in the comment section.,Feature Request,WO,
Vendor Admin,Easier to research prior web orders,Feature Request,Quotes,
Site Manager,Edit option for logs.,Feature Request,Locations,
Account Coordinator,ETA times updated daily ,Feature Request,,
Site Manager,find a better way to print and invoice work orders,Feature Request,"Locations, WO",
Vendor Admin,"Fix it, then allow for access  and use by phone.",Feature Request,Invoices,
Facility Manager,"FMpilot is very good website and very useful for submitting invoices and quotes for different types of work orders, the only thing i would suggest in updating is deleting different files on work orders ",Feature Request,WO,
Vendor Admin,Get rid of having to put WEB in front of the numbers to find a work order. If quote rejected then have the avialabilty to do a new quote without having client having to reset to pending quote,Feature Request,WO,
Account Coordinator,Have a report where I can see when we are getting paid,Feature Request,WO,
Customer Service Rep,Having the ability to delete attachments would be great -- PLEASE!!  (your own attachments of course not customer or site uploads) THANK YOU!! :),Feature Request,,
Vendor Admin,Having the abilty to adjust techs times would be helpful. ,Feature Request,,
Vendor Admin,"I need a Dashboard, I need a Flag when service doesn't arrive on time.  How can we capture these delayed responses?",Feature Request,,
Facilities Manager,"I think it's great, but when using filters, it would be great if we could exclude a trade.",Feature Request,,
Vendor Admin,"I would like to be able to use SI7 as a financial tracking tool, but currently unable which makes inefficient use of my time. ",Feature request,,
Vendor Admin,"I would like to see a way to search for specific types of comments on the comment screen.  For example: Search for all vendor comments, search for all internal comments, Search for all Dispatch comments, Search for all Reject comments. ",Feature Request,,
Site Manager,I would like to see detailed updates on the time from when an invoice is approved and when the payment is made to the vendor. ,Feature Request,WO,
Vendor Admin,I would like to see the due dates before I open the work orders.   ,Feature request,,
Site Manager,"I would love to be able to do all the functions from the IMFM, AMFM apps instead of having to use the computer. It would be nice to open WO's for vendors without having to open them and dispatching to me, then reassigning them to the vendor. If Service Insight and Site tools were integrated so that M/n and S/n would show on the WO it would be helpful especially if a tech was working in an unfamiliar location.  The ability to add time ahead of the actual date for vacation or holiday. This would be much more efficient so while we were on vacation we didn't have to interrupt our vacation time to make sure that our payroll time is accurate. ",Feature request,WO,
Vendor Admin,I'd love to be able to attach multiple images at once instead of just one attachment at a time.,Feature request,WO,
Vendor Admin,"If a proposal is approved, there should be an option to get it to automatically populate the invoice fields to match. It seems like certain WOs just get stalled or lost in between somewhere and take way way too long to get paid.  There are too many different statuses and they are hard to decipher. Users should be able to delete attachments. ",Feature Request,"Request Codes, WO",
Site Manager,IF we could make it so that we can have multiple tabs running pilot in the same browser that would be helpful- Sometimes I need to have both the client side and the IFM side up at the same time. Also the client side only works in Firefox- It we could make it work across all browsers that would be awesome. ,Feature Request,,
Customer Service Rep,Improve the reporting system.,Feature request,"Request Codes, WO",
Customer Service Rep,incorporate the 360 into the applicatons to prompt a safety review before any work is completed.,Feature request,,
Facilities Manager,"Invoice submission into Service Insight is an issue for some vendors due to employee change over, getting access to the system for a new employee at the vendor.  If we had access at times we could help the vendor while they wait for the access to the system.  The last system Corrigo we did have access and it helped with keeping invoices being processed more efficient especially when the vendor emails you the invoice copy asking for help., Just a thought",Feature request,"Quotes, WO",
Vendor Admin,"it could be a little more specific for what we do.   Say, we have jail security network which includes card reader system as a sub system to the computerized access system.  And Si7 only have card reader system... ",Feature request,,
Vendor Admin,It should be translated into different languages. I'm from the LATAM region and my native language is Spanish. I would prefer to use it in Spanish and so my team.,Feature request,WO,
Vendor Admin,It would also add greatly to the usefulness if the platform was available in local language. Many of the manufacturing staff on my site does not speak English. ,Feature request,"Invoices, Quotes",
Facilities Manager,It would be beneficial to be able to make copies of WOs.  Site number/location codes would be useful in the WO number.,Feature request,,
Vendor Admin,It would be great as I can find all reports in the work order directly.,Feature request,Quotes,
Vendor Admin,It would be great if email notifications were sent out once work order status changes. Thank you,Feature Request,,
Account Coordinator,"It would be helpful if after a quote is approved and work is completed, if the portal was able to transfer quoted entries over to invoice, this would eliminate multiple entries for the break down. ",Feature Request,,
Vendor Admin,It would be helpful to have an option to add attachments and add a tag when creating the work order. You need to create the work order and then go back in it to add an attachment and tag,Feature request,,
Account Coordinator,It would be more practical if PA tickets were enabled through the mobile app as well. Currently there is no option to modify the type of ticket from SR to PA. ,Feature request,,
Account Coordinator,It's really difficult/impossible to research past tickets. We'd like to be able to do that.,Feature Request,WO,
Account Coordinator,IVR in real time,Feature Request,,
Site Manager,Less forms and attachments,Feature Request,WO,
Vendor Admin,Letting us do field PO's while the work order is open. Letting us have pictures after the work order has been closed. Letting us add field PO's after the work order has been closed. Letting us still add notes after the work orders been closed.,Feature request,,
Vendor Admin,Make it easier to connect with colleagues within the portal,Feature Request,,
Vendor Admin,Make it easier to integrate with external service management software,Feature Request,"Quotes, Invoices, Attachments",
Account Coordinator,Make quote templates the user can build on. ,Feature Request,WO,
Site Manager,Making it easier to submit different quotes for the location that has nothing to do with the initial issue at hand. ,Feature Request,,
Operations Manager,Making updates come with notifications to whichever manager puts in the request.,Feature Request,Integration,
Vendor Admin,"Many if you want to contact me directly (todd.lidstone@cbre.com). Off the top of my head, on the WO screen when we bring up vendor details, they do not include the email. the WO emails that are send out are confusing. ",Feature request,IVR,
Vendor Admin,more options for problems or free type space,Feature Request,"Quotes, Invoices",
Operations Manager,more options to choose from,Feature Request,,
Vendor Admin,more self service tools,Feature Request,Quotes,
Vendor Admin,More statuses,Feature Request,"WO, Attachments",
Operations Manager,My only complaint is not being able to delete an attachment if needed or uploaded in error.,Feature Request,,
Vendor Admin,Need a way to delete old request.,Feature Request,,
Vendor Admin,Need and other tab when creating work orders,Feature Request,,
Site Manager,need some kind of notation that notes have been added to open reqs. so we know to look at them or respond,Feature Request,"WO, Locations",
Vendor Admin,need to have better records retention and access to records,Feature request,Attachments,
Customer Service Rep,Not very robust nor intuitive interface. Personally I   would like ( among other things ) better print options so that one can print out task lists/ procedures etc into hardcopy instead of being fully limited to referring back to electronic device all the time.,Feature request,,
Site Manager,notes ,Feature Request,"WO, Commenting",
Site Manager,older version you were able to back date when completed... this system is more suited for a service company rather than in house facilties,Feature request,Commenting,
Site Manager,open screen should have active open worm orders not completed. portal times out 2 quickly ,Feature Request,"Commenting, WO",
Site Manager,"Please add ""change problem code"" and ""change/set location"" to the mobile app. ",Feature request,Locations,
Facility Coordinator,"Please extend deadlines for SLA, such as extending the 24 hours for a quote. ",Feature Request,,
Vendor Admin,Provide exact payment dates.  It's significantly challenging to purchase needed materials to complete WOs timely when payments are made more than 30 days after completion of work order. We are expected to complete WOs timely but are not compensated timely. ,Feature Request,"Invoices, WO, Attachments",
Vendor Admin,"put some areas that we can filter via region, like EAST or WEST region.",Feature Request,IVR,
Vendor Admin,Putting PM's on a better schedule and have the due date prior to the expiration date of inspections.   Better follow-up notifications  ,Feature Request,,
Technician,REQUIRE that notes are entered as to what a vendor did to resolve the problem.  Upload quotes that are visible us  -  who knows are buildings better than us ??,Feature Request,WO,
Site Manager,"resolve things quicker, be able to view completed work orders.",Feature Request,Request Codes,
Vendor Admin,Search by store number,Feature Request,Quotes,
Site Manager,Seems like there should be a button we can click on to add the attachments.  VOS users do not always get the attachments. ,Feature request,,
Account Coordinator,"Should have an option to close multiple work orders, especially those works related to each other, PM works that was done simultaneously.",Feature request,WO,
Vendor Admin,"Should receive alerts to the person submitting the ticket including when the ticket is submitted as well as when updates are being made. A timeframe should be provided when a tech is scheduled to come. If the ticket is cancelled, a notification should be sent. Emergencies should be treated as an emergency.",Feature Request,,
Vendor Admin,"SI used to have the option to change completion target date if the WO could not be completed on time. It was very useful, should be back",Feature request,Quotes,
Vendor Admin,SI7 and Coupa need to be integrated. Once a WO is dispatched to a vendor the WO is basically useless and becomes a record. Running any kind of cost analysis report has to be done separately because you can't pull in labor (CBRE) and vendor labor/parts together.  Vendors resist and don't use VAWS. With Coupa it's not needed anyways. A PO is created right away not like JDE. ,Feature request,,
Vendor Admin,"The biggest ask I have is for the results of a work order to be put in the comments.  Often work orders will show as complete, but many days will go by without any update regarding what work was done.  ",Feature Request,Invoices,
Facility Manager,The client approval process needs work as many budget holders are site-level rather than global and all work to a set PO issued to CBRE. The Vendor link to MyFinance and MyBuy will be interesting to see and explore.,Feature request,"Locations, WO",
Vendor Admin,"The portal is not adapted to recurring tasks. We should be able to create recurring tasks by determining their recurrence, which would save time spent creating and closing weekly requests.",Feature request,"Locations, Invoices, Quotes",
Technician,The requestor unable to input the priority levels in ServiceInsight. Most of the times the CBRE coordinator assign the request under P9 or P10. It takes more time to address the urgent issues.,Feature request,,
Vendor Admin,"The tool is not practical, it is very inflexible and does not allow full visualization of work orders. Where information can be consulted, maybe I don't know to use it and exploit its potential.",Feature request,,
Facilities Manager,The update of the BUILDING INSPECTIONS SURVEY every 3 months minimum and also that the suppliers can mark as completed a WO when it is assigned to them. Regarding the SMALL WORKS there is a problem to generate the PO in automatic this we have to create it manually and then link it to the WO.,Feature request,WO,
Finance & Accounting,There needs to be and Other tab when creating a WO as sometimes there are special request that need done.,Feature Request,,
Vendor Admin,To adjust invoice after submitting it,Feature Request,Invoices,
Account Coordinator,To be able to cancel or approve PO's,Feature request,WO,
Vendor Admin,"Update the program, send email notifications when a work order status is updated. ",Feature Request,"Invoices, Attachments",
Vendor Admin,"When a technician is using FM Pilot to check in\out, they should be able to add notes stating what they did. ",Feature Request,WO,
Customer Service Rep,"When you start to make a ticket for a site it should be a lot easier to know if there are pending ticket / Quotes anything for a site, not just once you start opening up the equipment and type of issue.",Feature Request,,
Site Manager,Why is it necessary to Complete a WO when my superior has approved the PO and I have received an email about that? Very old fashion in its appearance.,Feature request,Request Codes,
Vendor Admin,Wish lists.  Site IDs on the work order would help. Not receiving a  email when I reassign a work order. It just fills my in box.,Feature request,,
Vendor Admin,Wish there was an option to be able to delete a specific uploaded document/photo etc easily.,Feature Request,WO,
Operations Manager,Wish there was and (other) in the request type.,Feature Request,,
Facility Manager,Would be great if quotes could transfer over to invoicing. ,Feature Request,,
Facilities Manager,My account has switched from IMFM to the Carrigo. We no longer use IMFM and it is missed. I thought IMFM was a better service tool for work orders. Carrigo is owned by a competitor of CBRE and I feel the competition is purposefully sabotaging our efforts to maintain the Wells Fargo account ,"Feature request, conspiracy theory",Request Codes,
Vendor Admin,"3. Global job plans should consider the technical legal standards in all countries - reference work by Kevin Hill's team
","Feature request, data issue",,
Site Manager,5. inclusion of a 'statutory' flag for assets and PPM,"Feature request, data issue",,
